location_no,latitude,longitude,location_detail,total_vehicles,Passenger_Car_Units,Ratio
L1,18.6868353520022,73.8467249548214,"Moshi Toll Plaza, Nasik Road ",85455,88270,1.03294131414195
MB8,18.8100841006987,73.8738751155283,Nashik Road,86048,76311,0.886842227593901
MB4,18.5067930865126,73.844404665094,Lal Bahadur Shastri Road,86623,81195,0.93733765858952
SL34,18.5971010714875,73.7739404674774,Kaspate Wasti Road ,89995,82630,0.918162120117784
MB5,18.5324766306817,73.8300455891274,Senapati Bapat Road,90081,80850,0.897525560329037
L12,18.696582995272,73.7918174177877,"Talwade, Dehu Alandi Road ",92980,92133,0.990890514089051
SL24,18.5154506920871,73.8444892455679,Baba Bhide Bridge ,98093,76462,0.779484774652626
SL11,18.5255916851197,73.8603326262175,Juna Bazar ,99433,93446,0.939788601369767
SL57,18.5362057543086,73.9339883430393,Mundhwa Bridge ,100833,95874,0.950819672131148
SL35,18.6212071140681,73.8017171979961,Karachi Chowk ,102480,97995,0.956235362997658
MB12,18.510640792903,73.8683906455275,Timber Market Road,106169,108056,1.0177735497179
SL56,18.5414929402225,73.9043873142036,HH Aga Khan Bridge ,106985,97644,0.912688694676824
SL19,18.504679627387,73.8364207099601,Mhatre Bridge ,108941,95811,0.879476046667462
SL14,18.5395571149109,73.8952164983177,Koregaon Park Road ,113462,102882,0.906752921683031
SL50,18.5677809677246,73.8114974374898,"Rajiv Gandhi Bridge, Aundh Ravet Road",113662,103874,0.913885027537787
L10,18.5914361972627,73.7389758105042,"Shivaji Chowk, Hinjewadi ",115248,104056,0.90288768568652
SL29,18.5285047745807,73.8605618361063,Sangam Bridge 1 ,116910,112685,0.963861089727141
MB14,18.4805195486307,73.8910380755186,Kondhwa Road,130501,127483,0.976873740431108
SL54,18.5426501403348,73.8837805692612,Yerwada Bridge ,133603,125251,0.937486433687866
SL59,18.4883855067407,73.8280047853672,Rajaram Bridge ,134044,113831,0.84920623078989
SL55,18.5425992809677,73.8853898946178,Yerwada Bridge ,137401,129007,0.938908741566655
L3,18.6733949048908,73.8930886951923,Nagar Road ,138570,133484,0.963296528830194
SL18,18.5072228985436,73.790369138588,"Western Bypass, After Warje",159621,152646,0.956302742120398
SL53,18.5751104230558,73.8362142583826,"Harris Bridge, Old Mumbai Highway",169809,158236,0.931846957463974
SL10,18.5300743004355,73.8538719988606,HK Firodia Bridge ,184933,177961,0.962299859949279
